StoreNo,StoreName,YEAR,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
392,LOTUS'S MELAKA CHENG,2025,44.9,0.1325,0.3186,510,0.2922,3.3,0.6349,0.3997
512,DATARAN PAHLAWAN,2025,49.6,0.1036,0.3805,930,0.2912,3.5,0.4749,0.35
579,KIP MART MELAKA,2025,45.3,0.1095,0.367,740,0.2158,3.2,0.4878,0.4544
593,JONKER STREET,2025,43,0.1257,0.3064,400,0.1953,3,0.546,0.35
2153,BATU BERENDAM,2025,54.8,0.1224,0.3528,790,0.3678,3.9,0.579,0.5913
2247,GANGSA JAYA,2025,52.9,0.1235,0.3513,400,0.3061,3.7,0.6033,0.4996
161,DESA CEMPAKA,2025,46.1,0.1144,0.3125,420,0.2651,3.5,0.5162,0.7188
370,SUNGAI PELEK,2025,50.5,0.1272,0.3134,840,0.3351,3.6,0.6145,0.6686
415,9 AVENUE MALL,2025,58.6,0.1153,0.3917,1860,0.3188,3.9,0.5628,0.7301
459,LOTUS'S BDR PUTERI BANGI,2025,43.1,0.1336,0.3193,560,0.3131,3.4,0.5372,0.443
513,MESAMALL,2025,45.1,0.1167,0.3892,930,0.295,3.3,0.567,0.4626
550,BANDAR SERI PUTRA,2025,49.7,0.1112,0.3477,600,0.2533,3.4,0.5217,0.66
601,CS BANGI,2025,43.2,0.118,0.3336,400,0.2724,3.3,0.5421,0.614
605,AEON NILAI,2025,55,0.1023,0.3818,2230,0.2991,3.6,0.5405,0.5269
653,BANDAR BARU ENSTEK,2025,51.7,0.1128,0.3682,420,0.2939,3.7,0.6353,0.6386
2044,KLIA QUARTERS,2025,43.6,0.1098,0.3136,400,0.3022,3.3,0.5142,0.5672
2133,BANDAR BARU NILAI,2025,56.4,0.1,0.3725,420,0.2893,3.9,0.4754,0.5824
2180,SOUTHVILLE CITY,2025,47.8,0.121,0.3604,1160,0.2745,3.6,0.6806,0.5749
48,IPOH PARADE,2025,50.6,0.1061,0.4015,4970,0.2577,3.2,0.5859,0.3514
300,AEON IPOH STATION 18,2025,53.3,0.1071,0.3958,4270,0.2783,3.3,0.5782,0.4015
395,TIN VILLAGE MALL,2025,43,0.1246,0.3841,840,0.2241,3,0.5502,0.6578
397,BATU GAJAH,2025,44.1,0.1321,0.3139,650,0.3911,3.4,0.6091,0.4718
428,LOTUS'S KAMPAR,2025,43.1,0.1187,0.3377,700,0.2586,3.1,0.5487,0.4809
502,LOTUS'S IPOH STATION 18,2025,43,0.1104,0.3213,650,0.2173,3.1,0.4623,0.5318
588,ANGSANA IPOH MALL,2025,43,0.1324,0.3376,420,0.2258,3,0.5394,0.3598
2053,GREENTOWN IPOH,2025,49.9,0.1331,0.3339,840,0.3028,3.6,0.5594,0.5588
2060,GUNUNG RAPAT,2025,57.6,0.1233,0.4009,2090,0.2418,3.7,0.4829,0.5129
2061,LOTUS'S PULAI HARTAMAS,2025,46.3,0.1365,0.3399,970,0.3022,3.4,0.5946,0.35
2084,SIMPANG PULAI,2025,54.4,0.113,0.342,840,0.3255,3.9,0.5638,0.602
2150,BATU GAJAH PERDANA,2025,55.7,0.1098,0.3534,650,0.324,3.8,0.6492,0.5761
2154,JALAN TERMINAL KAMPAR,2025,49.6,0.1148,0.3616,970,0.2655,3.4,0.5053,0.5107
89,PLAZA SHAH ALAM,2025,48,0.1161,0.3649,460,0.2491,3.5,0.5472,0.6167
149,SACC MALL,2025,44.9,0.1138,0.3715,400,0.2206,3.4,0.45,0.5043
251,PLAZA ALAM SENTRAL,2025,43,0.1121,0.3466,400,0.1859,3.1,0.5209,0.3563
349,AEON BUKIT RAJA,2025,48.7,0.1071,0.3565,600,0.2395,3.4,0.4976,0.4376
473,JALAN NANAS,2025,45,0.1198,0.304,600,0.2722,3.4,0.5443,0.5401
485,SEKSYEN 16,2025,48.1,0.1071,0.3299,510,0.2413,3.5,0.5674,0.8191
499, SEKSYEN 7,2025,45.8,0.1157,0.3647,1070,0.2183,3.4,0.6183,0.7568
610,CENTRAL I-CITY,2025,49.1,0.1,0.37,2410,0.2419,3.2,0.5427,0.5029
2050,SECTION 20,2025,46.6,0.1058,0.3337,600,0.2571,3.4,0.5972,0.725
2147,IMPIAN PRISMA,2025,58.7,0.1092,0.35,560,0.2673,4,0.5883,0.6068
2160,TTDI JAYA,2025,47.1,0.1098,0.3372,650,0.2725,3.5,0.5901,0.5629
2188,CALTEX BUKIT RAJA,2025,43,0.1274,0.3071,400,0.2101,3.1,0.4881,0.5296
109,BUKIT TINGGI KLANG,2025,75.1,0.1001,0.3642,3710,0.3033,4.6,0.5964,0.7315
169,KUALA SELANGOR,2025,46.4,0.1338,0.3125,400,0.5192,3.8,0.8101,0.6831
245,MEDAN NIAGA KUALA SELANGOR,2025,45.7,0.1158,0.3194,650,0.2782,3.5,0.5813,0.6234
366,LOTUS'S KLANG,2025,46.1,0.1554,0.3812,650,0.2714,3.3,0.5888,0.4367
563,SEKINCHAN,2025,46.7,0.1227,0.3314,510,0.2611,3.4,0.4891,0.6454
623,LOTUS'S KUALA SELANGOR,2025,48.4,0.1248,0.3497,1250,0.3303,3.5,0.8826,0.4923
692,KLANG PARADE,2025,45.9,0.1204,0.3703,400,0.2502,3.2,0.6166,0.4828
2024,JALAN KEBUN NENAS,2025,55.9,0.1172,0.373,1070,0.3141,4,0.6248,0.6139
2072,SABAK BERNAM,2025,50.9,0.1149,0.3779,1900,0.3754,3.8,0.8987,0.5542
2076,SUNGAI BESAR,2025,52.2,0.1429,0.4036,1670,0.2805,3.7,0.6189,0.5688
2127,TANJUNG KARANG,2025,47.2,0.119,0.3016,1110,0.3417,3.5,0.5803,0.4706
2195,CALTEX BESTARI JAYA,2025,46.2,0.1146,0.3165,420,0.3126,3.5,0.6356,0.4979
115,BANTING,2025,48.3,0.1252,0.3299,510,0.2741,3.4,0.5472,0.6491
225,AEON BUKIT TINGGI SHOPPING,2025,58.7,0.1,0.3428,2510,0.245,3.6,0.5468,0.5428
406,LOTUS'S JENJAROM,2025,45.4,0.1341,0.3123,1210,0.2947,3.4,0.5758,0.4907
656,BANTING 2,2025,46.6,0.138,0.3181,560,0.2932,3.5,0.6233,0.5748
661,CALTEX KLANG,2025,48.1,0.1146,0.3,420,0.263,3.5,0.6285,0.7717
663,TELOK PANGLIMA GARANG,2025,50.5,0.1105,0.3081,1110,0.2733,3.7,0.7341,0.7999
2121,JENJAROM,2025,55.6,0.1098,0.3525,880,0.3421,3.9,0.6567,0.5648
2156,KSL ESPLANADE MALL,2025,50.9,0.1178,0.3734,880,0.301,3.6,0.5235,0.35
2171,BANTING 3,2025,64.6,0.1088,0.3661,700,0.2665,4.2,0.6019,0.5987
2178,TELUK PULAI,2025,48,0.1168,0.3472,1160,0.2611,3.5,0.5966,0.5699
2182,BUKIT TINGGI 2,2025,61.4,0.1095,0.3951,400,0.2648,3.7,0.555,0.5019
85,SHAH ALAM SEC. 18,2025,44.2,0.1248,0.3343,700,0.2547,3.3,0.5511,0.5736
240,AEON BIG BUKIT RIMAU,2025,45.9,0.1207,0.3199,420,0.2363,3.3,0.5709,0.4797
420,LOTUS'S SHAH ALAM,2025,43,0.1399,0.3183,420,0.2835,3.2,0.533,0.35
542,GAMUDA WALK,2025,51.8,0.1262,0.3612,600,0.2756,3.4,0.4623,0.5022
680,BANDAR SAUJANA PUTRA,2025,53.5,0.1061,0.3438,400,0.237,3.7,0.6131,0.6938
695,QUAYSIDE,2025,47.6,0.1241,0.3767,790,0.2322,3.4,0.45,0.6018
699,PETRONAS SEC 13,2025,44.8,0.1298,0.3079,600,0.3872,3.4,0.6481,0.6806
2003,AEON SHAH ALAM,2025,56.3,0.1121,0.3976,5750,0.3135,3.9,0.6207,0.4753
2151,BANDAR RIMBAYU,2025,57.2,0.1136,0.3645,460,0.2796,3.8,0.5666,0.533
2222,SRI MUDA,2025,50,0.111,0.3431,740,0.3208,3.5,0.6337,0.4871
2243,KOTA KEMUNING,2025,51.3,0.1371,0.3666,400,0.2634,3.5,0.5915,0.4772
2255,LOTUS'S BANDAR RIMBAYU,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
148,TELUK INTAN,2025,61.1,0.1175,0.3667,1670,0.4278,4,0.8847,0.6862
266,TANJUNG MALIM,2025,44.5,0.1256,0.3138,740,0.2998,3.4,0.7286,0.5538
318,AEON SERI MANJUNG,2025,47.4,0.1089,0.3617,5200,0.2389,3.1,0.5459,0.3998
347,D MALL SERI ISKANDAR,2025,43,0.1145,0.3615,930,0.2911,3,0.755,0.4338
374,LOTUS'S MANJUNG,2025,43,0.1309,0.3317,1580,0.297,3.1,0.6385,0.4996
424,LOTUS'S SERI ISKANDAR,2025,43,0.1333,0.3378,560,0.3088,3.2,0.5095,0.4624
431,SLIM RIVER,2025,50.5,0.1082,0.332,1210,0.315,3.7,0.5962,0.6694
490,LOTUS'S TELUK INTAN,2025,47.7,0.1325,0.3475,1070,0.2849,3.5,0.6546,0.4532
2116,TANJONG MALIM 2,2025,53.2,0.1192,0.3692,1110,0.2807,3.9,0.6123,0.5225
2128,BEHRANG,2025,50.5,0.1232,0.3398,930,0.4833,3.9,0.7126,0.5752
2166,SITIAWAN PERAK,2025,59.6,0.1249,0.3839,1160,0.2774,3.9,0.802,0.6111
2215,AYER TAWAR,2025,51.3,0.1327,0.3924,510,0.3356,3.5,0.6195,0.5067
33,AEON KINTA CITY,2025,58.4,0.1,0.3861,4550,0.2893,3.6,0.5944,0.3968
105,LOTUS'S IPOH GARDEN,2025,43,0.1464,0.3452,400,0.2449,3,0.59,0.3865
121,JALAN AL-BAKRI,2025,43.4,0.1444,0.337,400,0.2527,3.3,0.6007,0.7511
221,LOTUS'S IPOH BERCHAM,2025,45.9,0.1219,0.371,600,0.2532,3.2,0.5226,0.4085
352,TANAH RATA CAMERON,2025,46.1,0.1261,0.3415,400,0.2611,3.7,0.4871,0.6071
426,TAPAH,2025,48.6,0.1286,0.354,930,0.3353,3.6,0.5414,0.6166
443,CAMERON SQUARE,2025,43,0.1463,0.3534,400,0.4082,3.7,0.556,0.4676
526,MYDIN MERU,2025,43,0.1354,0.3346,1720,0.2962,3.2,0.5635,0.4986
615,BERCHAM,2025,45.7,0.1444,0.3388,400,0.2151,3.2,0.5618,0.5694
2040,CAMERON CENTRUM,2025,43,0.1305,0.3698,460,0.2686,3.4,0.5204,0.4797
2093,KLEBANG RESTU,2025,53.9,0.1184,0.3583,1110,0.2901,3.7,0.5496,0.5509
2168,PUSAT PERNIAGAAN SILIBIN,2025,51.5,0.1133,0.3713,460,0.2622,3.4,0.5757,0.5151
44,SUMMIT SUBANG USJ,2025,43,0.1152,0.3615,400,0.17,3,0.4961,0.4344
75,SS 15,2025,43,0.1263,0.3142,400,0.2129,3,0.5698,0.5696
375,MAIN PLACE,2025,50,0.1178,0.384,2180,0.2406,3.4,0.603,0.3486
507,NU EMPIRE,2025,47.7,0.1224,0.4145,400,0.2019,3.2,0.6438,0.35
519,TAIPAN USJ,2025,48.5,0.1162,0.3816,650,0.2153,3.2,0.6029,0.5411
614,MYDIN SUBANG JAYA,2025,43,0.1213,0.3215,510,0.1982,3,0.4869,0.5312
626,SS15 TWO,2025,43,0.137,0.3433,400,0.2358,3,0.6005,0.574
2002,SS15 COURTYARD,2025,44.4,0.1108,0.3623,790,0.266,3,0.5794,0.3922
2006,NU EMPIRE 2,2025,51.1,0.1,0.3561,510,0.2414,3.2,0.622,0.4327
2064,PUTRA HEIGHTS,2025,56.2,0.1035,0.3742,510,0.2202,3.7,0.6509,0.8214
2244,SUBANG PARADE,2025,53.4,0.1,0.4006,400,0.2139,3.4,0.45,0.373
270,PRECINCT 88 JLN SONG,2025,64.3,0.1283,0.4205,1760,0.2575,4.2,0.7528,0.6981
327,THE SUMMER,2025,45.9,0.1117,0.3613,650,0.2349,3.3,0.7345,0.3806
430,VIVACITY MEGAMALL,2025,54.4,0.1013,0.3961,3300,0.2499,3.5,0.7372,0.35
455,CITY ONE KUCHING,2025,47.5,0.1282,0.4122,400,0.2132,3.4,0.7544,0.4517
509,BANDAR RIYAL,2025,51.6,0.124,0.3417,400,0.2618,3.6,0.8015,0.4995
520,KOTA SENTOSA KUCHING,2025,53.4,0.1383,0.3363,560,0.2261,3.8,0.7253,0.6091
532,TABUAN JAYA,2025,43,0.1378,0.3227,400,0.2308,3.3,0.744,0.6282
537,BAU,2025,51.4,0.1292,0.3066,560,0.37,3.8,0.9107,0.488
687,E-MART TABUAN,2025,43.3,0.1423,0.3584,420,0.2368,3.2,0.4956,0.35
2031,AIMAN MALL,2025,43.6,0.1272,0.3693,740,0.2672,3.2,0.8857,0.3588
2088,EMART KING CENTRE,2025,43,0.1337,0.3688,740,0.1995,3,0.6341,0.421
2227,THE SPRING KUCHING,2025,56.8,0.1015,0.4312,400,0.2495,3.5,0.9203,0.35
2236,AEROVILLE MALL,2025,46.2,0.1326,0.4112,400,0.2932,3.3,0.7896,0.356
2245,KOTA PADAWAN MALL,2025,55,0.1111,0.344,400,0.17,3.9,0.45,0.402
98,HIGH STREET MIRI,2025,53,0.1146,0.3256,400,0.2197,3.7,0.7159,0.4773
241,BINTANG MIRI SARAWAK,2025,77.4,0.1,0.3791,4970,0.3221,4.5,0.7831,0.5394
265,BOULEVARD MALL MIRI,2025,48.9,0.1406,0.3813,700,0.2122,3.4,0.7276,0.3605
285,PERMY MALL,2025,52.3,0.122,0.37,460,0.2189,3.6,0.6653,0.447
304,LIMBANG SARAWAK,2025,62.4,0.108,0.3467,1210,0.2612,4.2,0.7055,0.489
354,IMPERIAL CITY MALL,2025,65.7,0.1,0.3616,2650,0.2584,4,0.6329,0.4452
434,LAWAS,2025,53.5,0.1028,0.3186,560,0.1992,3.7,0.8064,0.6507
477,EMART RIAM,2025,54.1,0.1084,0.3552,740,0.2006,3.5,0.7148,0.5431
482,EMART  TUDAN,2025,59.4,0.1036,0.3582,930,0.2576,3.8,0.6585,0.602
677,LIMBANG PLAZA,2025,55.4,0.1226,0.3549,740,0.2289,3.7,0.6769,0.35
2190,MIRI TIMES SQUARE,2025,70.8,0.1138,0.3945,510,0.237,4.4,0.7346,0.5045
2221,"PELITA COMMERCIAL CENTRE,MIRI",2025,70.5,0.1085,0.4117,400,0.2194,4.2,0.6776,0.5778
2240,SENADIN MIRI,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
61,SARAWAK PLAZA,2025,43.8,0.1415,0.365,420,0.2586,3.8,0.8316,0.4926
219,PARKCITY MALL BINTULU,2025,53.1,0.1114,0.3463,840,0.2635,3.5,0.712,0.35
317,PLAZA MERDEKA KUCHING,2025,46.2,0.1107,0.3605,790,0.2453,3.3,0.8046,0.35
332,JALAN SATOK,2025,58.9,0.127,0.3696,400,0.2674,4.2,0.7082,0.6474
405,TIMES SQUARE BINTULU,2025,49.6,0.1143,0.3781,400,0.2569,3.4,0.4974,0.35
436,METRO CITY MATANG,2025,55.3,0.1281,0.361,700,0.2915,3.8,0.9495,0.6405
494,MEDAN JAYA BINTULU,2025,62.5,0.1268,0.3584,740,0.2679,4.2,0.501,0.6056
539,MYDIN VISTA TUNKU,2025,47.3,0.1252,0.3605,460,0.2249,3.5,0.8372,0.4109
558,AEON KUCHING CENTRAL,2025,50.7,0.1205,0.4054,1900,0.304,3.5,0.895,0.35
600,THE SPRING BINTULU,2025,62.7,0.0999,0.4057,1250,0.2664,3.9,0.6229,0.4907
672,BOULEVARD BINTULU,2025,48.6,0.1116,0.3906,510,0.2239,3.4,0.6457,0.6136
2025,LEE LING COMMERCIAL,2025,50.8,0.13,0.3843,420,0.2455,3.6,0.6717,0.5198
2202,BINTULU TERMINAL,2025,48.1,0.1137,0.3734,790,0.288,3.5,0.5581,0.5218
167,SARAWAK HOUSE,2025,43,0.1514,0.3319,880,0.3058,3.5,0.7574,0.35
226,DELTA MALL,2025,46,0.1581,0.3921,510,0.2912,3.4,0.7366,0.35
252,SING KWONG MALL,2025,45.7,0.1494,0.3659,510,0.2837,3.3,0.7169,0.5108
281,STAR MEGAMALL SIBU,2025,51.7,0.1249,0.3733,1070,0.2608,3.6,0.7592,0.3597
330,SARIKEI,2025,58.4,0.1214,0.3467,510,0.3335,4,0.8119,0.597
372,MUKAH,2025,55.5,0.1363,0.3707,790,0.3183,3.7,0.7108,0.5148
476,SALIM SIBU,2025,45.4,0.1673,0.3501,400,0.3127,3.6,0.7889,0.4916
546,BINTANGOR,2025,43,0.1499,0.3175,400,0.305,3.4,0.6726,0.472
678,JALAN TUANKU OSMAN,2025,55.9,0.1515,0.3929,560,0.3261,3.9,0.7561,0.5985
2079,KAPIT SARAWAK,2025,52.5,0.1298,0.3407,560,0.2668,3.9,0.687,0.6596
2161,SIBU JAYA,2025,53.6,0.1311,0.3477,420,0.2719,3.9,0.6826,0.5308
2167,UNICITY SIBU,2025,47,0.1428,0.3704,510,0.2505,3.5,0.7132,0.5175
2206,SARIKEI 2,2025,63.2,0.1147,0.3854,400,0.3124,4.1,0.8563,0.5828
268,BOULEVARD MALL KUCHING,2025,43.9,0.1092,0.3693,400,0.1721,3.3,0.6042,0.3652
276,BATU KAWAH,2025,51,0.1409,0.3711,560,0.26,3.6,0.8724,0.5829
321,EASTERN MALL SIBURAN,2025,44.5,0.126,0.3442,400,0.2269,3.1,0.7601,0.3969
364,PLAZA SIMANGGANG,2025,50,0.114,0.3647,400,0.201,3.5,0.8287,0.4082
365,SERIAN,2025,57.2,0.1242,0.3407,560,0.25,3.9,0.6514,0.6093
380,EVERRISE BDC,2025,51.6,0.1283,0.3895,400,0.1879,3.3,0.7178,0.4315
463,BETONG,2025,48.5,0.1193,0.3106,400,0.1786,3.6,0.5372,0.625
474,EMART BATU KAWAH,2025,45,0.128,0.3849,560,0.223,3.1,0.7324,0.401
478,SARATOK,2025,47.7,0.1355,0.3272,400,0.2488,3.8,0.6542,0.5293
622,EVERRISE 4TH MILE,2025,49.4,0.1299,0.3605,400,0.228,3.4,0.5011,0.3808
2036,EMART MOYAN,2025,44.1,0.1355,0.3542,400,0.2904,3.2,0.8269,0.3673
2097,SRI AMAN SQUARE,2025,52.6,0.1136,0.3714,460,0.2196,3.6,0.7765,0.4926
232,WETEX PARADE SHOPPING,2025,52.5,0.1094,0.3895,1760,0.2949,3.5,0.5875,0.4182
425,JALAN ALI MUAR,2025,59.4,0.1184,0.3535,1020,0.3044,3.9,0.5918,0.4859
440,JALAN BAKRI MUAR,2025,63.7,0.1182,0.3633,1720,0.3139,4.2,0.64,0.6568
552,TF MUAR,2025,43,0.145,0.3047,400,0.3887,3,0.6298,0.4
2034,BUKIT BAKRI,2025,54.7,0.1131,0.3482,1160,0.3578,3.8,0.6623,0.4735
2054,TANGKAK,2025,64.9,0.1233,0.3659,970,0.3329,4.3,0.6434,0.5889
2158,BUKIT GAMBIR,2025,55.9,0.1199,0.373,1490,0.3496,3.8,0.6629,0.5455
2175,KCC CITY MUAR,2025,58.4,0.1171,0.3815,460,0.3048,3.9,0.6858,0.3802
2184,LOTUS'S MUAR,2025,46.1,0.1221,0.3547,2270,0.2903,3.3,0.6374,0.35
213,AEON BIG BATU PAHAT,2025,48.4,0.1281,0.3719,2970,0.327,3.3,0.6645,0.35
249,BATU PAHAT MALL,2025,51.4,0.1144,0.3586,4970,0.3277,3.6,0.6502,0.35
311,SQUARE 1 BATU PAHAT,2025,43.7,0.1317,0.3482,1860,0.3467,3.3,0.7177,0.35
339,SIMPANG RENGGAM,2025,52.4,0.1136,0.3512,1070,0.2993,3.6,0.7371,0.756
342,PONTIAN,2025,61.3,0.1211,0.3516,2920,0.3888,4.3,0.6699,0.6496
344,YONG PENG JOHOR,2025,57.2,0.1226,0.3581,970,0.4407,3.9,0.7243,0.544
441,JALAN RAHMAT,2025,63.6,0.1213,0.3814,2180,0.3353,4.3,0.6213,0.7066
574,JALAN SOGA,2025,49.3,0.1409,0.3353,650,0.36,3.7,0.7434,0.623
659,SHELL PARIT RAJA,2025,51.4,0.134,0.3636,650,0.3349,3.8,0.7368,0.5838
681,PONTIAN KOTA EMAS,2025,59.4,0.1274,0.3811,2460,0.3498,4,0.6084,0.7192
2023,D'GARDEN B.PAHAT,2025,56.4,0.1249,0.402,1110,0.3511,3.7,0.6682,0.4596
2198,BENUT PONTIAN,2025,55.6,0.1211,0.372,1110,0.403,4,0.8,0.619
147,KOTA TINGGI,2025,58,0.1271,0.3228,2230,0.4997,4.4,0.5949,0.5297
217,LOTUS'S SERI ALAM,2025,46.9,0.1088,0.3253,880,0.2596,3.3,0.5321,0.6355
296,PASIR GUDANG JOHOR,2025,48.7,0.1121,0.3425,840,0.2559,3.6,0.535,0.4942
536,SKS CITY MALL,2025,50,0.1001,0.3233,930,0.2714,3.5,0.5151,0.5452
589,LOTUS'S ECO TROPICS,2025,46.8,0.1144,0.3441,880,0.2476,3.3,0.5127,0.5301
609,LOTUS'S PLENTONG,2025,43,0.1255,0.3486,400,0.2775,3.3,0.6027,0.6494
613,KIP MART KOTA TINGGI ,2025,49.3,0.1339,0.3228,1620,0.5167,3.9,0.688,0.4597
632,KIP MART MASAI,2025,46.3,0.1034,0.3618,740,0.2559,3.3,0.547,0.5638
688,CALTEX KOTA MASAI,2025,47.4,0.1196,0.3012,600,0.3003,3.7,0.5314,0.7388
689,BANDAR SERI ALAM,2025,57.4,0.1,0.3206,840,0.2653,3.9,0.5321,0.6992
2214,KOTA TINGGI 2,2025,64.5,0.1086,0.3598,1300,0.4232,4.5,0.5921,0.5594
2229,U SENTRAL MASAI,2025,42.8,0.1154,0.3589,400,0.2822,3.2,0.5614,0.35
2231,KOTA MASAI,2025,49.1,0.1065,0.3426,510,0.3226,3.6,0.5359,0.6234
59,IOI MALL KULAI,2025,47.9,0.1363,0.4101,1110,0.3176,3.4,0.6103,0.4301
181,KLUANG,2025,43.7,0.1459,0.3059,460,0.3665,3.6,0.7897,0.622
237,KLUANG MALL JOHOR,2025,45.8,0.1347,0.3647,3340,0.3464,3.5,0.6607,0.35
274,MERSING,2025,57.6,0.1096,0.3373,1900,0.3625,4,0.7018,0.6705
278,JALAN MANGGIS KLUANG,2025,45.7,0.1383,0.3296,790,0.354,3.6,0.6922,0.4855
322,AEON BIG KLUANG,2025,49.2,0.1651,0.39,1350,0.3568,3.9,0.6455,0.4145
486,JALAN HAJI MANAN,2025,57.7,0.1421,0.355,3110,0.4467,4.2,0.7391,0.6523
535,LOTUS'S KULAI,2025,48.1,0.1306,0.3672,930,0.2437,3.4,0.6299,0.5425
2174,VERSIS KLUANG,2025,58.1,0.1528,0.4291,970,0.3987,4.5,0.7917,0.3879
2183,LOTUS'S KLUANG,2025,43,0.1407,0.3644,1210,0.3809,3.3,0.6873,0.35
2233,JOHOR PREMIUM OUTLETS,2025,71.2,0.1,0.3918,1490,0.2877,4.8,0.5028,0.4215
2235,THE COMMUNE,2025,50.2,0.1139,0.3851,400,0.2478,3.4,0.5738,0.35
2242,AEON KULAIJAYA,2025,53.8,0.1021,0.3688,460,0.2349,3.4,0.5857,0.35
2260,SENAI KULAI,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
101,TAMAN MOLEK,2025,52.3,0.1291,0.3707,510,0.2413,3.7,0.5749,0.6644
120,ULU TIRAM,2025,46.1,0.1181,0.3,420,0.2868,3.4,0.5282,0.6351
373,LOTUS'S DESA TEBRAU,2025,47.1,0.1131,0.332,400,0.2256,3.3,0.45,0.4544
484,AEON TEBRAU CITY,2025,73.7,0.1,0.3567,6820,0.2321,4,0.5185,0.422
498,JOHOR JAYA,2025,61.3,0.103,0.3739,400,0.2027,3.7,0.5374,0.6891
534,AUSTIN HEIGHTS,2025,54.1,0.1161,0.3663,400,0.2335,3.4,0.45,0.5074
611,MYDIN PELANGI INDAH,2025,43,0.1235,0.3277,400,0.2159,3.1,0.5742,0.5384
652,TOPPEN,2025,60.1,0.1,0.3818,880,0.2872,3.9,0.45,0.4041
660,CALTEX ULU TIRAM,2025,47.6,0.1202,0.3089,1350,0.3744,3.4,0.4845,0.763
2117,SHELL MOUNT AUSTIN,2025,50.1,0.1313,0.34,400,0.2342,3.7,0.4797,0.4939
2122,S'MART PANDAN,2025,47.5,0.1031,0.3364,2270,0.2875,3.3,0.652,0.4283
36,PLAZA ANGSANA,2025,64,0.1,0.3368,5890,0.2711,4.1,0.6075,0.3504
151,AEON PERMAS JAYA,2025,51.8,0.1,0.3417,420,0.2203,3.3,0.45,0.51
596,MID VALLEY SOUTHKEY,2025,86.9,0.1,0.3606,5520,0.2132,4.4,0.45,0.5977
627,LOTUS'S SETIA TROPIKA,2025,43,0.1308,0.3117,460,0.2117,3.2,0.5397,0.5277
645,MID VALLEY SOUTHKEY2,2025,63.3,0.1,0.3952,1950,0.2688,4,0.4837,0.4341
673,PARAGON MARKET PLACE,2025,43,0.1086,0.3104,400,0.1866,3,0.5389,0.503
694,LARKIN PERDANA,2025,57.9,0.1067,0.3263,930,0.2452,4,0.4668,0.7737
2118,TMN IMPIAN EMAS,2025,59.1,0.1048,0.3698,420,0.2289,3.8,0.45,0.524
2143,JALAN TAMPOI,2025,58.1,0.1,0.3333,400,0.2489,4.1,0.6484,0.63
2144,PERMAS JAYA,2025,52.1,0.1156,0.3158,510,0.2557,3.6,0.548,0.587
2259,SKS MALL LARKIN,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
45,CITY SQUARE,2025,70.3,0.1,0.3596,12990,0.2008,3.6,0.6294,0.35
159,PLAZA SENTOSA,2025,51.3,0.1293,0.3183,1250,0.2405,3.6,0.5193,0.5304
256,KSL CITY MALL,2025,73.8,0.1,0.3265,5430,0.225,3.9,0.5896,0.35
511,KSL 2,2025,61.4,0.1,0.3795,4080,0.267,3.7,0.5184,0.3845
525,AEON BANDAR DATO ONN,2025,54,0.1033,0.385,400,0.1755,3.5,0.45,0.3961
580,GALLERIA KOTARAYA,2025,43,0.1257,0.3071,930,0.2874,3.4,0.5799,0.35
2073,TD CENTRAL,2025,77,0.1,0.4006,840,0.2469,4.4,0.4857,0.5708
2141,ADDA HEIGHTS,2025,57.6,0.1015,0.3353,510,0.2437,4,0.5099,0.6303
2148,TD POINT,2025,53.1,0.1093,0.346,400,0.1926,3.5,0.45,0.5312
2207,PLAZA PELANGI,2025,56.5,0.1,0.3784,700,0.2157,3.4,0.4835,0.35
2216,JBCC,2025,53.3,0.1001,0.3827,510,0.183,3.3,0.45,0.35
2267,SETIA TROPIKA,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
2270,PAGOH JAYA,2025,43,0.1,0.3,400,0.17,3,0.45,0.35
62,AEON TMN UNIVERSITY,2025,46.6,0.1119,0.3713,1620,0.2427,3.2,0.7096,0.4131
387,LOTUS'S MUTIARA RINI,2025,47.5,0.1176,0.3337,650,0.2295,3.3,0.5847,0.3827
538,PARADIGM MALL JB,2025,64.7,0.1,0.3824,3620,0.2353,4,0.5446,0.35
555,MYDIN MUTIARA RINI,2025,43,0.1263,0.3292,460,0.2345,3.3,0.45,0.5341
559,TAMAN SUTERA UTAMA,2025,57.9,0.1185,0.3705,790,0.359,3.9,0.4864,0.7779
639,KIP TAMPOI,2025,43,0.1179,0.3,970,0.2432,3.2,0.5053,0.358
649,PARADIGM MALL JB 2,2025,54.2,0.1,0.3547,1950,0.2105,3.5,0.45,0.4065
2055,MUTIARA RINI,2025,53.5,0.1122,0.3526,700,0.259,3.7,0.5613,0.5525
2120,TAMAN UNIVERSITI,2025,54.1,0.1157,0.3341,2040,0.3377,3.7,0.5746,0.5257
2217,TASEK CENTRAL,2025,49.1,0.1109,0.3731,1250,0.2518,3.2,0.513,0.35
2241,SUTERA MALL,2025,58.5,0.1,0.4303,400,0.2019,3.3,0.45,0.35
164,TAMAN NUSA BESTARI,2025,55,0.1256,0.3429,1620,0.3582,3.8,0.6695,0.4788
